;   Converted 2013 Feb 10 from a file provided by Jim Baer
;   See 'mu.txt' in ftp://cfa-ftp.harvard.edu/pub/MPC/BC405/ for
;   the original version (as well as the BC405 orbital elements and
;   some documentation.)  The following masses are in units of Sun=1.
;   Solar GM = 1.32712440018 x 10^20 (+/- 8 x 10^9) m^3/s^2
;   2016 Oct 3: replaced Ceres 4.755e-10 and Vesta 1.344e-10 with Dawn's
;   measurements: Ceres GM=62.68 km^3/s^2 = 4.72299e-10,  Vesta
;   (2.59076 +/- 0.00001)x10^20 kg =  1.30284e-10 solar masses
   702  3.040e-12  Alauda
    40  8.859e-13  Harmonia
   705  8.529e-13  Erminia
   776  1.219e-12  Berbericia
   375  3.555e-12  Ursula
    69  3.677e-12  Hesperia
   150  1.218e-12  Nuwa
   117  1.160e-12  Lomia
    35  3.867e-13  Leukothea
   747  1.785e-12  Winchester
   772  5.746e-13  Tanete
   360  5.472e-13  Carlova
   388  5.249e-13  Charybdis
   250  7.076e-13  Bettina
   176  6.255e-13  Iduna
   162  6.917e-13  Laurentia
   350  5.847e-13  Ornamenta
   506  4.194e-13  Marion
   211  1.036e-12  Isolda
   514  4.221e-13  Armida
   241  1.700e-12  Germania
   740  2.649e-13  Cantabia
    96  1.730e-12  Aegle
   663  3.621e-13  Gerlinde
   451  4.016e-12  Patientia
   895  1.008e-12  Helio
   423  3.210e-12  Diotima
    95  8.881e-13  Arethusa
    49  1.540e-12  Pales
   602  6.843e-13  Marianna
    52  1.300e-11  Europa
   159  6.883e-13  Aemilia
   357  4.213e-13  Ninina
   545  4.863e-13  Messalina
   469  6.984e-13  Argentina
   373  3.098e-13  Melusina
    48  1.300e-11  Doris
   137  1.085e-12  Meliboea
    86  6.181e-13  Semele
   121  2.705e-12  Hermione
   196  1.801e-12  Philomela
    62  3.062e-13  Erato
    90  4.173e-13  Antiope
   791  3.913e-13  Ani
   120  1.861e-12  Lachesis
   683  1.943e-13  Lanzia
   212  8.897e-13  Medea
   283  6.938e-13  Emma
   691  2.378e-13  Lehigh
   596  5.136e-13  Scheila
   709  3.176e-13  Fringilla
   191  3.637e-13  Kolga
    74  5.901e-13  Galatea
   203  5.543e-13  Pompeja
   377  2.662e-13  Campania
   112  1.326e-13  Iphigenia
   165  1.318e-12  Loreley
   363  1.341e-13  Padua
   276  6.342e-13  Adelheid
   739  4.367e-13  Mandeville
  1093  5.610e-13  Freda
   268  9.656e-13  Adorea
  1021  3.463e-13  Flammario
   210  2.295e-13  Isabella
   505  5.365e-13  Cava
    99  1.313e-13  Dike
   690  8.686e-13  Wratislavia
   366  2.907e-13  Vincentina
   814  4.637e-13  Tauris
   788  3.931e-13  Hohensteina
   303  3.453e-13  Josephina
   780  2.967e-13  Armenia
   259  2.010e-12  Aletheia
   489  9.555e-13  Comacina
   568  2.322e-13  Cheruskia
   358  2.525e-13  Apollonia
   424  2.339e-13  Gratia
   412  2.655e-13  Elisabetha
   762  7.040e-13  Pulcova
   308  9.823e-13  Polyxo
   102  2.017e-13  Miriam
    56  5.122e-13  Melete
   154  2.231e-12  Bertha
    83  7.516e-13  Beatrix
